CODGEO;CS1_1;CS1_2;CS1_3;CS1_4;CS1_5;CS1_6;CS1_7;CS1_8
70540;5.06493506493506;0;0;10.1298701298701;10.1298701298701;15.1948051948052;15.1948051948052;0
70541;0;0;5.14354066985646;25.7177033492823;66.866028708134;25.7177033492823;20.5741626794258;5.14354066985646
70542;5.06849315068493;5.06849315068493;5.06849315068493;35.4794520547945;20.2739726027397;20.2739726027397;40.5479452054794;20.2739726027397
70544;5;10;10;15;10;10;30;20
70545;0;10;5;20;10;15;40;15
70546;0;4.93562231759657;4.93562231759657;14.8068669527897;49.3562231759657;49.3562231759657;59.2274678111588;9.87124463519314
70547;0;0;31.551724137931;31.551724137931;15.7758620689655;15.7758620689655;21.0344827586207;36.8103448275862
70548;0;5;0;10;25;15;65;5
70549;5.28571428571429;0;5.28571428571429;15.8571428571429;5.28571428571429;10.5714285714286;15.8571428571429;0
70550;1.01085770867561;291.679435624164;674.255358689038;1495.91258485147;1950.92810730185;2194.99003682867;3838.67572082545;2331.51336209202
70552;0;10;5;15;20;25;65;15
70553;10.4273504273504;0;5.21367521367521;5.21367521367521;10.4273504273504;36.4957264957265;20.8547008547008;31.2820512820513
70554;0;5;0;5;30;35;65;5
70555;0;4.97159090909091;4.97159090909091;19.8863636363636;19.8863636363636;39.7727272727273;29.8295454545455;34.8011363636364
70558;0;0;9.92805755395684;29.7841726618705;9.92805755395684;14.8920863309353;24.8201438848921;19.8561151079137
70559;0;9.81481481481482;14.7222222222222;44.1666666666667;4.90740740740741;44.1666666666667;24.537037037037;29.4444444444445
70560;0;0;0;14.7239263803681;34.3558282208589;29.4478527607362;14.7239263803681;24.5398773006135
70561;10.0112957387015;50.0564786935074;45.0508308241567;100.112957387015;175.19237777202;235.265449859485;492.145248526395;155.037511116137
70562;4.96503496503497;0;0;14.8951048951049;24.8251748251749;9.93006993006994;24.8251748251749;29.7902097902098
70563;4.98116760828625;4.98116760828625;14.9435028248587;89.6610169491525;59.774011299435;54.7928436911487;139.472693032015;34.8681732580038
70564;0;4.75675872646377;29.7657424008799;43.8993147210801;44.9498692107051;48.971740344721;51.1115239785619;14.1241650879916
70565;0;0;0;14.4230769230769;9.61538461538462;4.80769230769231;0;0
70566;10.4411764705882;0;0;31.3235294117647;26.1029411764706;41.764705882353;41.764705882353;20.8823529411765
70567;0;0;4.96323529411765;19.8529411764706;44.6691176470589;4.96323529411765;14.889705882353;24.8161764705883
70568;10.3448275862069;0;0;0;0;0;31.0344827586207;5.17241379310345
70569;5;5;0;0;10;15;15;5
70571;0;5;0;10;0;10;10;15
70572;13.7631965950382;10.099170751241;5.23020084700094;14.6069097127203;20.5531100554237;24.7123156944688;127.629627848093;9.40165777262084
70573;0;5.07042253521127;5.07042253521127;15.2112676056338;15.2112676056338;10.1408450704225;55.774647887324;5.07042253521127
70574;0;5.16949152542373;0;5.16949152542373;10.3389830508475;5.16949152542373;31.0169491525424;0
70575;0;15.1765611199313;50.8412665734089;106.538549479485;131.459335316259;81.254047268975;172.590147379445;75.8831716879291
70576;5;5;0;0;25;35;35;25
70577;0;4.86702127659574;14.6010638297872;48.6702127659574;48.6702127659574;58.4042553191489;126.542553191489;19.468085106383
70578;4.97126436781609;4.97126436781609;9.94252873563218;19.8850574712644;4.97126436781609;9.94252873563218;64.6264367816092;19.8850574712644
70579;0;0;55.6332324698387;65.5441577130857;55.3404665223963;55.8825989789135;110.000019867491;45.827229928067
70580;0;15.0967741935484;0;25.1612903225807;25.1612903225807;10.0645161290323;40.258064516129;20.1290322580645
70581;5.16156152988575;25.2284436768068;49.0681658247612;44.5167585511569;109.372263090653;87.0233596921652;158.593844470862;38.4223055347174
70582;0;0;0;5.91463414634146;0;5.91463414634146;59.1463414634146;5.91463414634146
70583;4.92063492063492;0;9.84126984126984;4.92063492063492;29.5238095238095;19.6825396825397;29.5238095238095;0
71001;9.83688833124216;34.4291091593476;44.2659974905897;68.8582183186951;93.4504391468005;98.3688833124216;236.085319949812;49.1844416562108
71002;0;39.6396556976907;34.6846987354794;188.288364564031;178.378450639608;247.747848110567;183.33340760182;104.054096206438
71003;30;0;30;75;110;115;240;55
71004;11;51;75;195;130;125;230;101
71005;0;14.8814229249012;9.9209486166008;29.7628458498024;19.8418972332016;39.6837944664032;77.3833992094862;34.7233201581028
71006;15.0852272727273;5.02840909090909;0;20.1136363636364;20.1136363636364;15.0852272727273;70.3977272727273;15.0852272727273
71007;0;0;0;20.4716911306854;15.353768348014;15.353768348014;46.0613050440421;23.5821911385056
71008;10;15;0;15;10;10;65;25
71009;34.2974525066361;29.1917137689705;24.2703946178839;81.5675651188663;60.0083721116399;96.7550546646608;295.613333900009;35.7395216941777
71010;44.5257611241218;24.7365339578455;9.89461358313818;103.893442622951;79.1569086651054;123.682669789227;222.628805620609;93.9988290398127
71011;35.1814025380985;30.1382984572006;30.1069497695375;20.1148747793893;50.190454041623;35.1030144528039;130.744042793457;60.2374607749153
71012;9.87841945288754;4.93920972644377;14.8176291793313;54.3313069908815;24.6960486322189;34.5744680851064;128.419452887538;9.87841945288754
71013;0;9.9607843137255;0;14.9411764705883;19.921568627451;29.8823529411765;109.568627450981;49.8039215686275
71014;28.202565767555;367.433188681882;632.678074290901;1177.28121098978;1706.63582560964;1614.37392525952;4416.71769736235;1713.18771090977
71015;5.08565310492505;25.4282655246252;45.7708779443254;152.569593147752;122.055674518201;101.713062098501;244.111349036402;147.483940042826
71016;40.0631238874394;25.2601005419246;47.723804209718;150.101909284066;139.276972690077;136.600753730745;240.401566787401;100.308676691379
71017;14.5108695652174;0;0;9.67391304347826;9.67391304347826;0;33.8586956521739;0
71018;10.111007212519;20.222014425038;15.1665108187785;40.4440288500759;60.6660432751139;96.0021818704348;166.831619006563;60.6660432751139
